Title,City,Country_code,Marker_icon,Workplace_type,Experience_level,Published_at,Remote_interview,Remote,Company_size_from,Company_size_to,salary_from_permanent,salary_to_permanent,salary_currency_permanent,skills_name_0,skills_value_0,skills_name_1,skills_value_1,skills_name_2,skills_value_2
"Software Developer Visual Studio C++/C#
Software Developer Visual Studio C++/C# (m/f)
Angular Frontend Developer (m/f)
QA Engineer (m/f)
Software Support Engineer (m/f)
Senior Frontend Developer",Wiedeń,AT,c,remote,mid,2022-10-27T09:00:14.648Z,TRUE,TRUE,11,50,15369.955,15369.955,eur,C#,3,C++,3,Visual Studio,3
"Fullstack Javascript Developer
React Native Developer",Sydney,AU,javascript,remote,mid,2022-03-18T13:10:00.000Z,FALSE,TRUE,51,200,26772.14727,37437.47424,usd,AWS,3,React,3,Node.js,3
"App Developer - In-Vehicle tech
Email Developer
Developer Programmer
Web Developer",Sydney,AU,c,remote,senior,2022-04-17T13:00:14.738Z,TRUE,TRUE,501,1000,40049.39104,42661.30785,usd,C#,5,unknown,0,unknown,0
"Software Developer Internship
Graduate FPGA Developer",Sydney,AU,java,remote,mid,2022-03-28T14:00:30.989Z,FALSE,TRUE,1000,5000,46579.18306,46579.18306,usd,Java,3,C#,3,C++,3
Software Engineer,Sydney,AU,c,remote,mid,2022-03-28T14:00:30.989Z,TRUE,TRUE,5001,10000,21765.97339,27860.44594,usd,Python,3,C#,3,unknown,0
Java Software Engineer,Sofia,BG,java,remote,mid,2022-10-01T13:00:09.924Z,FALSE,TRUE,51,200,14544.9,29089.8,eur,SQL,3,Kotlin,3,Java,3
Senior Ruby Engineer (100% Remote),Sofia,BG,ruby,remote,senior,2022-11-09T10:00:00.000Z,TRUE,TRUE,300,400,26313.25184,37655.17074,usd,AWS,4,NoSQL,4,Ruby,4
Infrastructure Engineer,Genewa,CH,other,remote,senior,2022-04-27T10:00:12.966Z,FALSE,TRUE,11,50,14509.19786,27207.46674,usd,MongoDB,4,SaaS,4,Networking,5
"AEM Tech Lead
Java Full Stack Developer",Ticino,CH,java,remote,senior,2022-06-30T10:26:00.000Z,TRUE,TRUE,51,200,31080.96386,58865.46185,chf,OSGI,4,Sling Servelets,4,Java,4
Senior Fullstack Software Developer Odoo,Zürich,CH,python,remote,senior,2022-07-14T09:13:22.888Z,TRUE,TRUE,70,100,25567.2,28944,eur,Linux,4,HTML,4,JavaScript,4
"Senior Full Stack Developer
Unity/C# Developer
Unity Engine Technical Artist
AR Unity Developer
Unreal Technical Artist
Web Games Developer
VFX Artist",Nicosia,CY,javascript,remote,senior,2022-05-13T11:53:00.000Z,TRUE,TRUE,50,200,18057.96822,22572.46028,usd,React Native,5,React,5,Node.js,5
(Mid / Senior) Backend Developer w AWS,Berlin,DE,javascript,remote,senior,2022-08-09T11:25:00.000Z,TRUE,TRUE,10,0,18709.2,23386.5,eur,ECS,4,EC2,4,Node.js,4
Python / Django Web Developer (f/m/d),Köln,DE,python,partly_remote,mid,2022-05-24T12:51:00.000Z,TRUE,FALSE,10,25,13804.5,17255.625,eur,Unit Testing,3,Python,3,Django,4
