Title,City,Country_code,Marker_icon,Workplace_type,Experience_level,Published_at,Remote_interview,Remote,Open_to_hire_Ukrainians,Company_size_from,Company_size_to,salary_from_permanent,salary_to_permanent,salary_currency_permanent,currency_exchange_rate,skills_name_0,skills_value_0,skills_name_1,skills_value_1,skills_name_2,skills_value_2
Trainee DevOps Engineer,Warszawa,PL,devops,office,junior,2022-07-07T12:50:08.545Z,FALSE,FALSE,FALSE,250,0,1445,1445,pln,0,Bash,1,Git,1,English,4
Office Administrator (szkolenie),Kraków,PL,support,office,junior,2022-10-24T06:50:00.000Z,FALSE,FALSE,FALSE,50,0,1500,1530,pln,0,MS Office,1,unknown,0,unknown,0
Praktyki letnie IT,Wrocław,PL,erp,office,junior,2022-04-27T12:00:16.787Z,TRUE,FALSE,FALSE,200,0,2500,2500,pln,0,SQL,2,unknown,0,unknown,0
Praktyki IT,Wrocław,PL,erp,partly_remote,junior,2022-04-26T08:00:21.282Z,FALSE,FALSE,FALSE,200,0,2500,2500,pln,0,SQL,2,unknown,0,unknown,0
Praktyki IT,Wrocław,PL,erp,office,junior,2022-04-12T08:05:00.000Z,TRUE,FALSE,TRUE,150,0,2500,2500,pln,0,SQL,2,unknown,0,unknown,0
Junior Web Developer,Łask,PL,html,remote,junior,2022-04-25T13:52:00.000Z,TRUE,TRUE,TRUE,5,10,2500,4500,pln,0,WordPress,2,CSS,3,HTML5,3
Praktyki IT - programista Java,Wrocław,PL,java,partly_remote,junior,2022-04-28T10:36:00.000Z,TRUE,FALSE,FALSE,90,100,2600,2600,pln,0,GCP,1,Spring Boot,1,java 16,1
Specjalista ds. Wsparcia Klienta,Warszawa,PL,support,partly_remote,junior,2022-03-30T11:00:21.805Z,TRUE,FALSE,FALSE,50,0,2800,5500,pln,0,Team Player,4,Problem Solving,4,Communication Skills,4
Tester aplikacji mobilnych,Łódź,PL,testing,partly_remote,junior,2022-07-28T14:13:00.000Z,TRUE,FALSE,FALSE,20,30,2900,4000,pln,0,Testing Mobile Apps,2,English,2,Communication Skills,4
Junior Angular Developer,Gdańsk,PL,javascript,remote,junior,2022-03-13T11:00:22.225Z,TRUE,TRUE,,20,0,3000,6000,pln,0,HTML,2,CSS,2,Angular,2
Remote Junior Web Developer,Gdańsk,PL,html,remote,junior,2022-02-24T12:00:19.439Z,TRUE,TRUE,,50,0,3000,6000,pln,0,HTML& CSS,2,unknown,0,unknown,0
Tester Manualny,Warszawa,PL,testing,remote,junior,2022-03-07T14:00:20.009Z,FALSE,TRUE,,60,0,3000,5000,pln,0,Testing Tools,2,Manual Testing,2,SQL,3
React Native Developer,Warszawa,PL,javascript,remote,junior,2022-07-26T13:07:48.939Z,TRUE,TRUE,TRUE,20,30,3000,6000,pln,0,React Native,2,React,2,English,4
Junior developer (frontend),Tychy,PL,javascript,partly_remote,junior,2022-04-25T12:00:19.498Z,TRUE,FALSE,TRUE,40,50,3000,6000,pln,0,Angular,2,unknown,0,unknown,0
Junior Quality Assurance Specialist,Rzeszów,PL,testing,office,junior,2022-04-24T11:00:19.180Z,FALSE,FALSE,FALSE,20,50,3000,5750,pln,0,Testing Mobile Apps,2,Manual Testing,3,Testing,3
Junior Web Designer/ Frontend Developer,Wrocław,PL,html,remote,junior,2022-03-15T15:00:15.744Z,TRUE,TRUE,,70,0,3000,5000,pln,0,Webflow,1,HTML,2,CSS,2
Junior Shopify Specialist,Kraków,PL,erp,remote,junior,2022-04-25T08:00:00.000Z,TRUE,TRUE,FALSE,300,0,3000,5000,pln,0,WooCommerce,1,QA,1,Shopify,1
Junior Shopify Specialist,Warszawa,PL,erp,remote,junior,2022-04-23T10:00:00.000Z,TRUE,TRUE,FALSE,300,0,3000,5000,pln,0,WooCommerce,1,QA,1,Shopify,1
Młodszy Specjalista ds. Testów i Analiz,Warszawa,PL,testing,office,junior,2022-04-08T10:00:25.326Z,TRUE,FALSE,FALSE,5500,0,3000,5500,pln,0,BI,2,SQL,2,JIRA,2
Specjalista Helpdesk,Kielce,PL,support,office,mid,2022-06-22T09:29:00.000Z,FALSE,FALSE,FALSE,80,90,3000,5500,pln,0,Active Directory,1,Windows,2,MS Office,2
Junior Front-end Developer,Olsztyn,PL,html,remote,junior,2022-04-14T07:33:00.000Z,TRUE,TRUE,TRUE,200,300,3000,6000,pln,0,SCSS,3,CSS3,3,HTML5,3
Junior Dynamics NAV / BC Developer,Kraków,PL,erp,remote,junior,2022-07-28T08:34:00.000Z,TRUE,TRUE,FALSE,11,50,3000,6000,pln,0,English,2,Microsoft Dynamics NAV,2,Microsoft Dynamics 365,2
Business Customer Support,Gdańsk,PL,support,partly_remote,junior,2022-04-21T08:43:00.000Z,FALSE,FALSE,TRUE,20,30,3000,6000,pln,0,Customer Support,1,IT Support,1,Testing,1
Junior Salesforce Developer - Step One,Kielce,PL,other,office,junior,2022-10-28T11:00:12.392Z,FALSE,FALSE,FALSE,1000,0,3000,4000,pln,0,C#,2,Java,2,English,4
Junior Salesforce Developer - Step One,Białystok,PL,other,partly_remote,junior,2022-06-29T13:19:00.000Z,TRUE,FALSE,FALSE,1000,0,3000,4000,pln,0,C#,2,Java,2,English,4
Junior Salesforce Developer- Step One,Kielce,PL,java,partly_remote,junior,2022-03-27T15:00:00.000Z,TRUE,FALSE,,800,0,3000,4000,pln,0,SQL,2,CSS,2,JavaScript,2
Junior Account Executive,Warszawa,PL,other,remote,junior,2022-08-02T09:03:09.024Z,FALSE,TRUE,FALSE,50,0,3000,5000,pln,0,MS Office,2,Sales,2,unknown,0
Junior DevOps,Warszawa,PL,devops,remote,junior,2022-03-14T13:00:19.274Z,TRUE,TRUE,,45,0,3000,6000,pln,0,Networks,2,Linux,2,Git,2
Junior C# Developer,Radom,PL,net,office,junior,2022-07-24T20:00:09.565Z,FALSE,FALSE,FALSE,10,0,3000,5000,pln,0,C#,1,CSS,1,HTML,1
Junior Fullstack Developer,Wrocław,PL,javascript,remote,junior,2022-06-24T09:18:00.000Z,TRUE,TRUE,FALSE,20,0,3000,5000,pln,0,Python,2,React,2,English,4
Junior IOS Developer,Szczecin,PL,other,office,junior,2022-06-30T07:51:59.269Z,FALSE,FALSE,FALSE,50,0,3000,6000,pln,0,Swift,2,unknown,0,unknown,0
Specjalista ds. Wsparcia Klienta,Gdańsk,PL,support,remote,junior,2022-10-25T16:00:00.000Z,TRUE,TRUE,FALSE,50,0,3000,6000,pln,0,Team Player,4,Problem Solving,4,Communication Skills,4
Graphic Designer,Wrocław,PL,ux,office,junior,2022-06-30T13:36:00.000Z,FALSE,FALSE,FALSE,10,0,3000,5000,pln,0,Photoshop,2,Adobe XD,2,Adobe Creative Suite,2
Helpdesk,Białystok,PL,support,office,junior,2022-04-25T09:00:25.579Z,FALSE,FALSE,FALSE,250,0,3000,5000,pln,0,Confluence,2,JIRA,2,Network monitoring tools,2
Wsparcie techniczne klienta (Wordpress),Kraków,PL,other,remote,junior,2022-07-28T19:00:09.340Z,TRUE,TRUE,FALSE,10,15,3000,4000,pln,0,WooCommerce,2,WordPress,2,unknown,0
Junior Cybersecurity Engineer,Poznań,PL,security,office,junior,2022-04-19T14:01:00.000Z,TRUE,FALSE,FALSE,50,0,3000,6000,pln,0,Networking,2,Linux,2,Windows,2
Junior SEO Specialist,Wrocław,PL,other,office,junior,2022-07-30T06:00:09.356Z,TRUE,FALSE,FALSE,20,0,3000,5000,pln,0,HTML,1,Podstawy marketingu,2,CSS,2
IT Support Specialist,Warszawa,PL,support,partly_remote,junior,2022-06-08T12:32:00.000Z,FALSE,FALSE,FALSE,1000,0,3000,5000,pln,0,English,3,Communication Skills,3,Problem Solving,3
Junior Web Developer,Wrocław,PL,php,office,junior,2022-04-17T11:00:21.764Z,FALSE,FALSE,FALSE,10,20,3000,5000,pln,0,PHP,1,JavaScript,2,HTML5,2
Junior Back-end Developer (PHP),Wrocław,PL,php,office,junior,2022-02-27T14:00:16.852Z,FALSE,FALSE,,100,0,3000,6000,pln,0,Symfony 2,1,MySQL,2,PHP,3
Java Developer (program szkoleniowy),Lublin,PL,java,office,junior,2022-04-28T18:22:40.708Z,TRUE,FALSE,FALSE,1000,0,3010,3100,pln,0,SQL,2,Struktury danych,2,Java składnia,2
Junior Wordpress Developer,Wrocław,PL,php,remote,junior,2022-04-27T14:00:12.772Z,TRUE,TRUE,FALSE,20,0,3010,4750,pln,0,CSS,2,PrestaShop,2,WordPress,2
Konsultant ds. Logistyki,Kraków,PL,erp,partly_remote,junior,2022-07-29T12:44:00.000Z,FALSE,FALSE,FALSE,60,0,3020,6000,pln,0,Analiza Biznesowa,2,unknown,0,unknown,0
Junior Software Engineer,Warszawa,PL,pm,remote,junior,2022-04-27T11:00:22.766Z,FALSE,TRUE,FALSE,11,50,3047.236275,6094.47255,usd,0.2297163517,Elixir,1,Golang,1,API,1
Junior Software Engineer,Kraków,PL,pm,remote,junior,2022-04-27T11:00:22.766Z,FALSE,TRUE,FALSE,11,50,3047.236275,6094.47255,usd,0.2297163517,Elixir,1,Golang,1,API,1
Junior Sales Support,Wrocław,PL,support,partly_remote,junior,2022-03-21T12:00:18.658Z,TRUE,FALSE,,100,0,3050,4750,pln,0,Sales Navigator,1,unknown,0,unknown,0
Junior Software Tester,Wrocław,PL,testing,remote,junior,2022-06-30T10:53:00.000Z,TRUE,TRUE,TRUE,400,0,3096,3096,pln,0,JSON,1,XML,1,JIRA,1
Full-stack junior developer - C# i Java,Katowice,PL,java,office,junior,2022-04-27T10:00:12.966Z,FALSE,FALSE,FALSE,20,0,3100,5000,pln,0,MySQL,2,Java,2,C#,2
TRAINEE Programista FullStack JS lub PHP,Kraków,PL,php,partly_remote,junior,2022-04-18T11:21:00.000Z,FALSE,FALSE,FALSE,20,0,3100,5150,pln,0,HTML5,2,MySQL,2,English,3
Specjalista ds. servicedesk i wdrożeń IT,Poznań,PL,support,office,mid,2022-03-13T16:00:15.289Z,TRUE,FALSE,,10,0,3100,5000,pln,0,LAN,2,VoiP,3,Customer Support,3
Konsultant ds. wdrożeń WMS,Kraków,PL,analytics,office,junior,2022-06-13T07:23:00.000Z,TRUE,FALSE,FALSE,60,0,3100,6200,pln,0,MS SQL,1,WMS,2,Office 365,2
Tester Manualny,Poznań,PL,testing,partly_remote,mid,2022-02-25T12:00:19.769Z,TRUE,FALSE,,80,0,3200,5500,pln,0,ISTQB,1,SQL,2,Manual Testing,3
Junior PHP Developer (Staż/Intern),Oleśnica,PL,php,partly_remote,junior,2022-06-21T07:12:00.000Z,TRUE,FALSE,FALSE,1,10,3200,4500,pln,0,Laravel,1,Symfony,1,PHP,2
IT Support Specialist,Warszawa,PL,support,partly_remote,junior,2022-03-30T11:00:21.805Z,TRUE,FALSE,TRUE,10,20,3200,5000,pln,0,Events/ logs monitoring,3,Active Directory,3,Windows Server,3
Junior UX Designer,Warszawa,PL,ux,partly_remote,junior,2022-03-21T14:00:15.641Z,TRUE,FALSE,,15,0,3200,5000,pln,0,Prototyping,2,Figma,2,English,3
Junior UX Designer,Warszawa,PL,ux,partly_remote,junior,2022-03-20T14:00:12.447Z,TRUE,FALSE,,15,0,3200,5000,pln,0,UI,2,UX,2,English,2
Junior Project Manager,Gliwice,PL,pm,office,junior,2022-04-26T02:00:24.265Z,TRUE,FALSE,FALSE,70,90,3200,5000,pln,0,Basic IT Knowledge,2,English,3,Analytical Thinking,4
Junior Project Manager,Gliwice,PL,pm,office,junior,2022-09-21T15:47:00.000Z,TRUE,FALSE,TRUE,70,90,3200,5000,pln,0,Basic IT Knowledge,2,English,3,Analytical Thinking,4
Junior Game Designer,Łódź,PL,game,office,junior,2022-04-29T05:33:34.152Z,TRUE,FALSE,FALSE,25,50,3200,4200,pln,0,JS,1,CSS,2,HTML,2
Młodszy Specjalista wsparcia IT,Warszawa,PL,support,office,junior,2022-07-26T11:46:00.000Z,TRUE,FALSE,FALSE,1000,0,3200,4000,pln,0,VMware,2,MS Windows,3,unknown,0
Studio Interior Designer and 3D Artist,București,RO,architecture,partly_remote,senior,2022-04-26T13:00:17.042Z,FALSE,FALSE,FALSE,51,200,3252.62,6040.58,eur,0.2152111221,Maya,4,AutoCAD,4,3D Studio Max,4
Studio Interior Designer and 3D Artist,Warszawa,PL,architecture,partly_remote,senior,2022-04-26T13:00:17.042Z,FALSE,FALSE,FALSE,51,200,3252.62,6040.58,eur,0.2152111221,Maya,4,AutoCAD,4,3D Studio Max,4
Junior IT Administrator,Poznań,PL,admin,partly_remote,junior,2022-04-13T16:00:13.145Z,TRUE,FALSE,TRUE,40,0,3300,5800,pln,0,Zabbix,2,MySQL,2,Linux,2
Молодший ІТ адміністратор,Poznań,PL,admin,partly_remote,junior,2022-04-13T16:00:13.145Z,TRUE,FALSE,TRUE,40,0,3300,5800,pln,0,Proxmox/VMware,2,MySQL,2,Linux,2
Junior IT Administrator,Poznań,PL,admin,office,junior,2022-03-20T12:00:16.411Z,TRUE,FALSE,,35,0,3300,5800,pln,0,Proxmox/VMware,2,MySQL,2,Linux,2
Junior JavaScript Developer,Wrocław,PL,javascript,remote,junior,2022-07-28T09:56:00.000Z,TRUE,TRUE,TRUE,200,0,3300,6600,pln,0,Node.js,2,JavaScript,2,English,3
Junior Java Developer,Warszawa,PL,java,remote,junior,2022-07-28T12:00:13.936Z,TRUE,TRUE,TRUE,200,0,3300,6600,pln,0,Java,2,Teamwork,3,English,3
Junior PHP Developer,Warszawa,PL,php,remote,junior,2022-07-28T09:00:13.657Z,TRUE,TRUE,TRUE,200,0,3300,6600,pln,0,PHP,2,English,3,Teamwork,3
Junior Product Designer,Kraków,PL,ux,remote,junior,2022-07-28T08:47:00.000Z,TRUE,TRUE,TRUE,200,0,3300,6600,pln,0,workshops with clients,2,Product design,2,English,3
Junior Product Designer,Gliwice,PL,ux,remote,junior,2022-07-28T08:51:00.000Z,TRUE,TRUE,TRUE,200,0,3300,6600,pln,0,Product Discovery,2,Product design,2,English,3
Junior PHP Developer,Gliwice,PL,php,remote,junior,2022-03-15T15:00:15.744Z,TRUE,TRUE,,190,0,3300,6600,pln,0,PHP,2,English,3,Teamwork,3
Junior Vue.js Developer,Gliwice,PL,javascript,remote,junior,2022-03-11T15:00:18.274Z,TRUE,TRUE,,200,0,3300,6600,pln,0,JavaScript,2,Teamwork,3,English,4
Junior JavaScript Developer,Kraków,PL,javascript,remote,junior,2022-03-10T05:00:18.356Z,TRUE,TRUE,,220,0,3300,6600,pln,0,Node.js,2,JavaScript,2,English,3
Junior JavaScript Developer,Wrocław,PL,javascript,remote,junior,2022-03-06T18:00:18.846Z,TRUE,TRUE,,220,0,3300,6600,pln,0,TypeScript,3,Node.js,3,JavaScript,3
