company_id,company_size_from,company_size_to
1,30,50
2,501,1000
3,51,200
4,1001,5000
5,1000,5000
6,5001,10000
7,51,200
8,300,400
9,11,50
10,51,200
11,50,200
12,10,23
13,50,200
14,51,200
15,11,50
16,50,100
17,180,250
18,1001,5000
19,51,100
20,500,600
21,150,200
22,30,50
23,300,400
24,11,50
25,50,100
26,51,200
27,15,20
28,10,20
29,10,15
30,21,100
31,30,50
32,51,200
33,180,250
34,11,50
35,11,50
36,1,10
37,51,200
38,50,100
39,30,50
40,51,200
41,50,100
42,50,200
43,50,100
44,201,500
45,201,500
46,1001,5000
47,51,200
48,15,20
49,51,200
50,20,30
51,11,50
52,1001,5000
53,51,200
54,20,50
55,200,350
56,80,100
57,10,20
58,50,60
59,201,500
60,101,120
61,10,50
62,250,300
63,100,150
64,20,30
65,501,1000
66,5,10
67,10,15
68,200,250
69,2,10
70,11,50
71,15,20
72,5,20
73,10,23
74,250,300
75,15,25
76,50,70
77,60,70
78,80,100
79,20,30
80,1001,5000
81,150,200
82,40,50
83,15,20
84,10,23
85,10,20
86,70,90
87,20,35
88,51,500
89,35,40
90,30,50
91,5,15
92,50,100
93,25,50
94,101,500
95,700,900
96,1,10
97,20,30
98,11,50
99,2,10
100,11,50
101,1,10
102,10,15
103,8,16
104,200,220
105,40,50
106,40,60
107,1001,5000
108,100,150
109,30,50
110,7,15
111,20,50
112,10,23
113,20,30
114,1,9
115,200,250
116,501,1000
117,200,300
118,1,5
119,30,40
120,10,15
121,15,20
122,150,200
123,10,20
124,300,500
125,11,50
126,51,200
127,180,200
128,5,10
129,10,15
130,501,1000
131,80,90
132,300,350
133,70,80
134,200,250
135,40,50
136,70,80
137,8,20
138,200,300
139,51,100
140,50,100
141,200,300
142,10,30
143,51,200
144,200,220
145,51,200
146,20,30
147,10,23
148,25,30
149,20,25
150,501,1000
151,5001,10000
152,70,80
153,80,90
154,20,50
155,10,20
156,90,100
157,150,200
158,20,30
159,40,50
160,6,10
161,10,50
162,10,25
163,50,100
164,180,200
165,250,300
166,180,250
167,40,50
168,300,400
169,50,200
170,50,100
171,130,140
172,10,20
173,1,10
174,11,50
175,20,50
176,20,30
177,100,150
178,15,20
179,51,100
180,5,10
181,300,400
182,200,250
183,30,50
184,80,100
185,50,100
186,10,23
187,60,80
188,501,1000
189,200,280
190,50,70
191,200,230
192,300,350
193,5,50
194,10,30
195,20,25
196,NULL,NULL
197,250,300
198,30,40
199,500,1000
200,6,10
201,130,140
202,5000,10000
203,200,220
204,50,60
205,60,70
206,1001,5000
207,70,80
208,100,200
209,50,200
210,1,5
211,20,40
212,40,80
213,51,200
214,80,90
215,120,200
216,10,25
217,40,60
218,25,40
219,30,200
220,11,25
221,2,10
222,150,200
223,40,50
224,10,15
225,6,20
226,10,50
227,120,160
228,70,100
229,15,25
230,800,900
231,130,150
232,55,60
233,31,50
234,250,400
235,21,50
236,200,350
237,60,100
238,80,120
239,5,15
240,30,65
241,11,49
242,2,5
243,180,200
244,1500,2000
245,180,250
246,25,50
247,15,30
248,1,100
249,90,100
250,400,500
251,14,20
252,1,30
253,250,280
254,150,200
255,30,40
256,50,100
257,11,50
258,300,400
259,30,50
260,50,100
261,80,100
262,150,200
263,11,50
264,51,300
265,50,200
266,150,200
267,30,50
268,11,50
269,51,200
270,11,50
271,7,10
272,11,50
273,51,200
274,5,10
275,11,50
276,50,100
