position_id,marker_icon,company_id,salary_id
1,javascript,1,1
2,c,2,2
3,python,2,3
4,other,2,4
5,php,2,5
6,javascript,3,6
7,mobile,3,7
8,c,4,8
9,java,5,9
10,c,6,10
11,java,7,11
12,ruby,8,12
13,other,9,13
14,java,10,14
15,java,10,15
16,c,11,15
17,javascript,11,16
18,game,11,17
19,c,11,18
20,game,11,19
21,game,11,20
22,game,11,21
23,javascript,12,22
24,data,13,23
25,net,14,24
26,testing,14,25
27,javascript,14,25
28,python,15,25
29,mobile,15,25
30,ruby,15,25
31,java,16,25
32,java,16,25
33,security,17,25
34,go,17,25
35,data,18,25
36,ruby,19,25
37,other,20,25
38,javascript,21,26
39,python,22,27
40,javascript,23,28
41,javascript,24,29
42,javascript,25,29
43,java,26,30
44,devops,27,31
45,javascript,28,32
46,python,29,33
47,javascript,29,34
48,other,30,35
49,go,31,36
50,java,32,37
51,security,33,37
52,go,33,37
53,javascript,34,38
54,python,34,38
55,javascript,35,38
56,python,36,39
57,java,37,39
58,data,38,40
59,other,38,41
60,javascript,38,42
61,ruby,38,43
62,python,38,44
63,javascript,39,44
64,java,40,45
65,testing,40,46
66,net,40,47
67,javascript,41,48
68,mobile,41,48
69,data,42,48
70,pm,43,49
71,mobile,44,50
72,php,44,51
73,html,45,52
74,mobile,45,53
75,analytics,46,54
76,mobile,46,55
77,ruby,46,56
78,java,47,56
79,php,48,56
80,python,49,56
81,go,49,56
82,mobile,50,57
83,python,51,58
84,python,52,59
85,java,53,60
86,java,53,61
87,javascript,54,62
88,javascript,55,63
89,javascript,55,63
90,javascript,56,63
91,java,56,64
92,net,56,65
93,java,57,66
94,java,57,66
95,mobile,58,67
96,ux,59,68
97,javascript,60,69
98,java,61,69
99,c,62,70
100,c,62,71
101,go,63,72
102,support,64,73
103,mobile,65,73
104,php,66,73
105,net,67,73
106,mobile,68,73
107,mobile,68,73
108,data,69,73
109,javascript,70,73
110,javascript,71,74
111,architecture,72,75
112,java,72,75
113,java,73,75
114,java,74,75
115,net,75,75
116,net,75,75
117,mobile,76,76
118,devops,76,76
119,java,76,76
120,pm,76,76
121,python,76,76
122,javascript,76,76
123,java,76,76
124,javascript,76,76
125,javascript,76,76
126,javascript,76,76
127,java,76,77
128,javascript,76,78
129,javascript,76,78
130,javascript,76,78
131,java,76,78
132,java,76,78
133,java,76,78
134,python,76,78
135,java,76,78
136,testing,76,79
137,testing,76,79
138,ux,76,79
139,pm,76,80
140,java,76,80
141,testing,76,80
142,python,77,80
143,testing,78,80
144,go,79,80
145,net,80,80
146,testing,80,80
147,testing,81,80
148,net,82,80
149,net,83,81
150,javascript,83,82
151,net,84,83
152,mobile,85,84
153,erp,85,85
154,support,85,85
155,javascript,85,85
156,architecture,86,85
157,pm,86,85
158,pm,86,85
159,javascript,86,85
160,javascript,86,85
161,javascript,86,85
162,other,87,85
163,java,88,86
164,php,88,87
165,javascript,88,87
166,testing,88,87
167,php,89,87
168,php,89,87
169,testing,90,87
170,net,91,87
171,mobile,92,87
172,javascript,93,87
173,pm,94,88
174,python,95,88
175,python,95,89
176,javascript,96,89
177,javascript,96,89
178,erp,97,89
179,testing,98,89
180,testing,98,89
181,html,99,89
182,data,100,90
183,html,101,91
184,php,102,91
185,net,103,91
186,net,103,92
187,net,103,92
188,net,104,92
189,support,104,92
190,mobile,105,92
191,mobile,106,93
192,java,106,94
193,analytics,106,95
194,testing,107,95
195,c,107,95
196,c,107,95
197,analytics,107,95
198,testing,107,95
199,net,107,95
200,java,107,95
201,go,108,95
202,mobile,108,95
203,devops,108,96
204,c,109,96
205,net,109,96
206,devops,109,97
207,c,109,97
208,javascript,109,97
209,testing,109,97
210,testing,109,97
211,testing,109,97
212,admin,110,97
213,admin,111,97
214,analytics,111,97
215,javascript,111,97
216,javascript,112,98
217,java,112,98
218,c,112,98
219,java,112,98
220,javascript,113,98
221,javascript,114,98
222,net,115,98
223,data,115,98
224,php,116,98
225,php,116,98
226,ux,116,99
227,javascript,117,99
228,c,117,99
229,erp,117,99
230,javascript,118,99
231,testing,119,99
232,javascript,120,100
233,testing,120,100
234,php,121,100
235,php,122,100
236,ux,122,100
237,php,123,100
238,data,124,100
239,php,125,101
240,testing,125,101
241,testing,126,101
242,php,127,101
243,mobile,128,101
244,ux,128,101
245,architecture,129,101
246,other,129,101
247,c,129,102
248,html,130,102
249,support,131,103
250,admin,132,104
251,admin,132,105
252,java,133,105
253,mobile,134,105
254,mobile,134,105
255,mobile,134,105
256,mobile,134,105
257,javascript,134,105
258,mobile,134,105
259,javascript,134,106
260,php,134,107
261,python,135,108
262,python,135,109
263,javascript,136,110
264,php,137,110
265,java,138,111
266,python,139,111
267,javascript,139,111
268,analytics,140,111
269,php,140,111
270,php,140,111
271,html,141,111
272,php,142,111
273,go,143,111
274,net,144,111
275,testing,145,111
276,php,146,111
277,php,146,111
278,php,146,111
279,php,146,112
280,java,147,112
281,java,147,112
282,pm,148,113
283,net,149,114
284,net,150,115
285,mobile,151,115
286,javascript,152,116
287,php,152,116
288,php,152,116
289,javascript,152,116
290,javascript,153,116
291,php,153,117
292,net,154,118
293,net,155,119
294,admin,156,120
295,java,157,121
296,admin,158,121
297,admin,158,121
298,net,159,121
299,net,159,121
300,testing,160,121
301,javascript,160,121
302,net,161,121
303,data,162,121
304,mobile,163,122
305,javascript,163,123
306,javascript,163,123
307,php,164,124
308,security,165,124
309,security,166,124
310,security,166,124
311,admin,167,124
312,net,167,124
313,security,167,124
314,javascript,167,124
315,testing,167,124
316,devops,168,124
317,ruby,168,124
318,ruby,168,124
319,testing,168,124
320,pm,168,124
321,pm,168,124
322,devops,169,124
323,devops,169,124
324,php,170,125
325,other,171,126
326,net,172,126
327,net,172,126
328,net,172,126
329,net,172,126
330,devops,172,126
331,devops,172,126
332,javascript,172,127
333,data,172,127
334,c,172,127
335,devops,172,127
336,python,172,128
337,devops,172,129
338,devops,172,130
339,javascript,172,130
340,javascript,172,130
341,other,172,131
342,javascript,172,132
343,javascript,172,133
344,javascript,172,133
345,architecture,172,133
346,erp,172,133
347,support,172,133
348,java,172,133
349,java,172,133
350,java,172,133
351,java,172,134
352,java,172,134
353,java,172,134
354,java,172,134
355,java,172,134
356,architecture,172,134
357,devops,172,134
358,java,172,135
359,mobile,172,135
360,net,172,135
361,c,172,135
362,pm,172,135
363,testing,172,136
364,other,172,136
365,other,172,136
366,java,172,136
367,devops,172,136
368,data,172,136
369,devops,172,136
370,javascript,172,136
371,java,172,136
372,java,172,136
373,pm,172,136
374,net,172,136
375,net,172,136
376,testing,172,136
377,testing,172,136
378,ux,172,136
379,net,173,136
380,analytics,173,137
381,javascript,173,138
382,java,173,138
383,java,173,138
384,net,174,139
385,javascript,174,139
386,data,174,139
387,data,174,139
388,devops,174,139
389,devops,174,140
390,devops,174,140
391,java,174,141
392,javascript,174,142
393,admin,174,142
394,admin,174,142
395,support,174,142
396,java,174,142
397,data,174,143
398,python,174,143
399,pm,174,143
400,pm,174,143
401,devops,174,143
402,javascript,174,143
403,python,174,143
404,ruby,174,144
405,data,174,144
406,java,174,144
407,javascript,174,144
408,python,174,145
409,data,174,145
410,java,174,146
411,pm,174,146
412,pm,174,147
413,pm,174,147
414,other,174,147
415,ux,174,148
416,net,175,148
417,support,175,148
418,support,175,149
419,c,175,150
420,c,175,150
421,javascript,175,150
422,analytics,175,151
423,javascript,175,152
424,testing,175,153
425,data,175,153
426,php,175,154
427,devops,175,154
428,python,175,154
429,javascript,175,154
430,architecture,175,154
431,javascript,175,154
432,net,176,154
433,net,176,154
434,pm,176,154
435,javascript,176,154
436,java,176,154
437,net,176,154
438,net,176,155
439,net,176,155
440,c,176,155
441,java,176,156
442,javascript,176,157
443,php,176,157
444,pm,176,158
445,c,176,159
446,c,176,159
