salary_id,currency,salary_to,salary_from
1,eur,23345,18676
2,usd,42661.30785,40049.39104
3,usd,23942.57073,18718.73712
4,usd,28731.08488,20677.67472
5,usd,37437.47424,26772.14727
6,usd,88369.85198,66603.87858
7,usd,34825.55743,29166.40435
8,usd,46579.18306,46579.18306
9,usd,27860.44594,21765.97339
10,usd,20677.67472,19023.46075
11,eur,29089.8,14544.9
12,usd,37655.17074,26313.25184
13,usd,27207.46674,14509.19786
14,chf,58865.46185,31080.96386
15,usd,13543.47617,9028.984112
16,usd,22572.46028,18057.96822
17,usd,13543.47617,11286.23014
18,usd,18057.96822,13543.47617
19,usd,13455.03459,8970.023059
20,usd,11212.52882,6727.517294
21,usd,11212.52882,8970.023059
22,eur,23386.5,18709.2
23,eur,31132.22,20909.7
24,pln,15000,12000
25,gbp,55227.90753,34517.44221
26,eur,25933.825,16178.9
27,eur,27457.2,25639.344
28,pln,40050,29250
29,eur,39001.7,30073.6
30,eur,25170.6322,21295.3678
31,gbp,34517.44221,25310.95002
32,eur,32818.1,27351.5422
33,eur,33138,25563.6
34,eur,34340.5089,18990.7911
35,eur,23504.32,21585.6
36,eur,53331.3,36362.25
37,eur,19362.3822,13554.1322
38,gbp,26899.43807,17753.62913
39,chf,38615.74297,19307.87149
40,eur,31323.534,19576.034
41,eur,23340,18672
42,gbp,13726.78369,13726.78369
43,gbp,45839.16325,27613.95376
44,gbp,38659.53527,22091.16301
45,gbp,34517.44221,27613.95376
46,pln,47520,32940
47,usd,38090.45344,32648.96009
48,gbp,34517.44221,23007.94628
49,eur,15369.955,15369.955
50,usd,32648.96009,21765.97339
51,usd,61671.70901,45342.87577
52,gbp,246280.4685,191551.4755
53,gbp,492560.937,410467.4475
54,gbp,30375.34914,24852.55839
55,eur,26196.5,14289
56,eur,15717.9,7144.5
57,eur,28578,14289
58,gbp,29823.07007,18225.20948
59,usd,42828.51817,21414.25909
60,eur,32526.2,23233
61,eur,17192.42,13475.14
62,eur,15333.78,11616.5
63,eur,21374.36,17192.42
64,eur,30109.968,15700.8614
65,eur,38068,30930.25
66,eur,30473.95,23441.5
67,usd,30472.36275,21765.97339
68,usd,29022.74892,23581.25557
69,pln,23950,19160
70,eur,27103.6178,15487.1178
71,pln,15000,10000
72,pln,18000,15000
73,pln,9000,6000
74,pln,16000,10000
